ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,variable,COL-180-GRIP-FLAT-BOX-HANDLE,,Columbia 180° Grip Flat Box Handle,1,0,visible,The Columbia 180° Grip Flat Box Handle delivers superior control and leverage for professional drywall flat-box finishing. Precision-machined from high-strength aluminum with an ergonomic 180° rotating grip that reduces wrist fatigue on long runs.,"<p>The Columbia 180° Grip Flat Box Handle is engineered for drywall professionals who demand consistent, fatigue-free performance across full-day finishing schedules. The signature 180° rotating grip distributes force evenly, eliminating the torque stress associated with conventional fixed-grip handles.</p>
<ul>
<li><strong>180° Rotating Grip</strong>: Reduces wrist fatigue and allows natural hand positioning on both push and pull strokes</li>
<li><strong>Precision Aluminum Construction</strong>: Lightweight yet rigid — delivers consistent box pressure without flex</li>
<li><strong>Universal Compatibility</strong>: Fits standard Columbia flat boxes and most industry-compatible finishing boxes</li>
<li><strong>Available Lengths</strong>: 3′, 42″, 4′, 5′, 6′ — right length for every wall height and ceiling application</li>
</ul>
<p>Backed by Columbia Taping Tools' commitment to Canadian-made craftsmanship, this handle is the finishing professional's choice for daily production work.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Box Handles,"Columbia,Drywall Finishing Tools",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_flat_box_handle_01.webp,,,,,,,,,11,Columbia Tools,Handle Length,"3', 42"", 4', 5', 6'",1,0,3',"DTB-COL-180-GRIP-FLAT-BOX-HANDLE, Columbia 180° Grip Flat Box Handle, Columbia Tools",Columbia 180° Grip Flat Box Handle,"Shop Columbia 180° Grip Flat Box Handle, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia 180° Grip Flat Box Handle,"Columbia Tools, drywall tools, DTB-COL-180-GRIP-FLAT-BOX-HANDLE",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-box-handles,flat-box-handles,0,,,,,3BH,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variation,3BH,,Columbia 180° Grip Flat Box Handle - 3',1,0,visible,The 3' Columbia 180° Grip Flat Box Handle delivers professional-grade drywall finishing performance. The Columbia 180° Grip Flat Box Handle delivers superior control and leverage for professional drywall flat-box finishin.,"<p>The Columbia 180° Grip Flat Box Handle is engineered for drywall professionals who demand consistent, fatigue-free performance across full-day finishing schedules. The signature 180° rotating grip distributes force evenly, eliminating the torque stress associated with conventional fixed-grip handles.</p>
<ul>
<li><strong>180° Rotating Grip</strong>: Reduces wrist fatigue and allows natural hand positioning on both push and pull strokes</li>
<li><strong>Precision Aluminum Construction</strong>: Lightweight yet rigid — delivers consistent box pressure without flex</li>
<li><strong>Universal Compatibility</strong>: Fits standard Columbia flat boxes and most industry-compatible finishing boxes</li>
<li><strong>Available Lengths</strong>: 3′, 42″, 4′, 5′, 6′ — right length for every wall height and ceiling application</li>
</ul>
<p>Backed by Columbia Taping Tools' commitment to Canadian-made craftsmanship, this handle is the finishing professional's choice for daily production work.</p>",,,taxable,,1,,,0,0,,,,,0,,,174.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,1,Columbia Tools,Handle Length,3',1,0,,"3BH, Columbia 180° Grip Flat Box Handle - 3', Columbia Tools",Columbia 180° Grip Flat Box Handle - 3',"Shop Columbia 180° Grip Flat Box Handle - 3', catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia 180° Grip Flat Box Handle - 3',"Columbia Tools, drywall tools, 3BH",Columbia Tools,3BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,3',3',,1,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,
,variation,42BH,,"Columbia 180° Grip Flat Box Handle - 42""",1,0,visible,"The 42"" Columbia 180° Grip Flat Box Handle delivers professional-grade drywall finishing performance. The Columbia 180° Grip Flat Box Handle delivers superior control and leverage for professional drywall flat-box finishin.","<p>The Columbia 180° Grip Flat Box Handle is engineered for drywall professionals who demand consistent, fatigue-free performance across full-day finishing schedules. The signature 180° rotating grip distributes force evenly, eliminating the torque stress associated with conventional fixed-grip handles.</p>
<ul>
<li><strong>180° Rotating Grip</strong>: Reduces wrist fatigue and allows natural hand positioning on both push and pull strokes</li>
<li><strong>Precision Aluminum Construction</strong>: Lightweight yet rigid — delivers consistent box pressure without flex</li>
<li><strong>Universal Compatibility</strong>: Fits standard Columbia flat boxes and most industry-compatible finishing boxes</li>
<li><strong>Available Lengths</strong>: 3′, 42″, 4′, 5′, 6′ — right length for every wall height and ceiling application</li>
</ul>
<p>Backed by Columbia Taping Tools' commitment to Canadian-made craftsmanship, this handle is the finishing professional's choice for daily production work.</p>",,,taxable,,1,,,0,0,,,,,0,,,175.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,2,Columbia Tools,Handle Length,"42""",1,0,,"42BH, Columbia 180° Grip Flat Box Handle - 42"", Columbia Tools","Columbia 180° Grip Flat Box Handle - 42""","Shop Columbia 180° Grip Flat Box Handle - 42"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia 180° Grip Flat Box Handle - 42""","Columbia Tools, drywall tools, 42BH",Columbia Tools,42BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,"42""","42""",,2,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,
,variation,4BH,,Columbia 180° Grip Flat Box Handle - 4',1,0,visible,The 4' Columbia 180° Grip Flat Box Handle delivers professional-grade drywall finishing performance. The Columbia 180° Grip Flat Box Handle delivers superior control and leverage for professional drywall flat-box finishin.,"<p>The Columbia 180° Grip Flat Box Handle is engineered for drywall professionals who demand consistent, fatigue-free performance across full-day finishing schedules. The signature 180° rotating grip distributes force evenly, eliminating the torque stress associated with conventional fixed-grip handles.</p>
<ul>
<li><strong>180° Rotating Grip</strong>: Reduces wrist fatigue and allows natural hand positioning on both push and pull strokes</li>
<li><strong>Precision Aluminum Construction</strong>: Lightweight yet rigid — delivers consistent box pressure without flex</li>
<li><strong>Universal Compatibility</strong>: Fits standard Columbia flat boxes and most industry-compatible finishing boxes</li>
<li><strong>Available Lengths</strong>: 3′, 42″, 4′, 5′, 6′ — right length for every wall height and ceiling application</li>
</ul>
<p>Backed by Columbia Taping Tools' commitment to Canadian-made craftsmanship, this handle is the finishing professional's choice for daily production work.</p>",,,taxable,,1,,,0,0,,,,,0,,,176.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,3,Columbia Tools,Handle Length,4',1,0,,"4BH, Columbia 180° Grip Flat Box Handle - 4', Columbia Tools",Columbia 180° Grip Flat Box Handle - 4',"Shop Columbia 180° Grip Flat Box Handle - 4', catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia 180° Grip Flat Box Handle - 4',"Columbia Tools, drywall tools, 4BH",Columbia Tools,4BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,4',4',,3,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,
,variation,5BH,,Columbia 180° Grip Flat Box Handle - 5',1,0,visible,The 5' Columbia 180° Grip Flat Box Handle delivers professional-grade drywall finishing performance. The Columbia 180° Grip Flat Box Handle delivers superior control and leverage for professional drywall flat-box finishin.,"<p>The Columbia 180° Grip Flat Box Handle is engineered for drywall professionals who demand consistent, fatigue-free performance across full-day finishing schedules. The signature 180° rotating grip distributes force evenly, eliminating the torque stress associated with conventional fixed-grip handles.</p>
<ul>
<li><strong>180° Rotating Grip</strong>: Reduces wrist fatigue and allows natural hand positioning on both push and pull strokes</li>
<li><strong>Precision Aluminum Construction</strong>: Lightweight yet rigid — delivers consistent box pressure without flex</li>
<li><strong>Universal Compatibility</strong>: Fits standard Columbia flat boxes and most industry-compatible finishing boxes</li>
<li><strong>Available Lengths</strong>: 3′, 42″, 4′, 5′, 6′ — right length for every wall height and ceiling application</li>
</ul>
<p>Backed by Columbia Taping Tools' commitment to Canadian-made craftsmanship, this handle is the finishing professional's choice for daily production work.</p>",,,taxable,,1,,,0,0,,,,,0,,,177.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,4,Columbia Tools,Handle Length,5',1,0,,"5BH, Columbia 180° Grip Flat Box Handle - 5', Columbia Tools",Columbia 180° Grip Flat Box Handle - 5',"Shop Columbia 180° Grip Flat Box Handle - 5', catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia 180° Grip Flat Box Handle - 5',"Columbia Tools, drywall tools, 5BH",Columbia Tools,5BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,5',5',,4,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,
,variation,6BH,,Columbia 180° Grip Flat Box Handle - 6',1,0,visible,The 6' Columbia 180° Grip Flat Box Handle delivers professional-grade drywall finishing performance. The Columbia 180° Grip Flat Box Handle delivers superior control and leverage for professional drywall flat-box finishin.,"<p>The Columbia 180° Grip Flat Box Handle is engineered for drywall professionals who demand consistent, fatigue-free performance across full-day finishing schedules. The signature 180° rotating grip distributes force evenly, eliminating the torque stress associated with conventional fixed-grip handles.</p>
<ul>
<li><strong>180° Rotating Grip</strong>: Reduces wrist fatigue and allows natural hand positioning on both push and pull strokes</li>
<li><strong>Precision Aluminum Construction</strong>: Lightweight yet rigid — delivers consistent box pressure without flex</li>
<li><strong>Universal Compatibility</strong>: Fits standard Columbia flat boxes and most industry-compatible finishing boxes</li>
<li><strong>Available Lengths</strong>: 3′, 42″, 4′, 5′, 6′ — right length for every wall height and ceiling application</li>
</ul>
<p>Backed by Columbia Taping Tools' commitment to Canadian-made craftsmanship, this handle is the finishing professional's choice for daily production work.</p>",,,taxable,,1,,,0,0,,,,,0,,,178.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,5,Columbia Tools,Handle Length,6',1,0,,"6BH, Columbia 180° Grip Flat Box Handle - 6', Columbia Tools",Columbia 180° Grip Flat Box Handle - 6',"Shop Columbia 180° Grip Flat Box Handle - 6', catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia 180° Grip Flat Box Handle - 6',"Columbia Tools, drywall tools, 6BH",Columbia Tools,6BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,6',6',,5,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,
,variable,COL-ANGLE-HEAD,,Columbia Angle Head,1,0,visible,"The Columbia Angle Head delivers professional-grade finishing for 90-degree internal angles, ensuring consistent compound application and a finely feathered edge. Built with durable billet aluminum and stainless steel, it offers reliable performance for demanding drywall tasks.","<p>Columbia Angle Head is engineered to deliver precise, professional finishes on 90-degree internal angles, ensuring consistent joint compound application and proper feathering of edges. Constructed from precision-machined billet aluminum and durable stainless steel, this commercial-grade tool provides superior performance and extended wear life for demanding drywall projects.</p><h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Ensures a fool-proof attachment to the ball, maintaining stability during operation.</li><li><strong>Enhanced Durability:</strong> Features robust stainless steel wings, designed for significantly longer wear compared to nickel-plated alternatives.</li><li><strong>Solid Billet Aluminum Body:</strong> Provides exceptional longevity and resilience, outperforming cast bodies, finished with an anodized gun metal color.</li><li><strong>Clear Wing Identification:</strong> Wings are engraved for easy left and right identification, streamlining setup and use.</li><li><strong>Superior Finish Quality:</strong> Consistently produces a finely feathered finish, ideal for seamless integration of compound over tape after corner rolling.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Angle Heads,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_2ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_3ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_35ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_35ah_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_35ah_03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_35ah_04.webp",,,,,,,,,5,Columbia Tools,Size,"2"", 2.5"", 3"", 3.5""",1,0,"2""","DTB-COL-ANGLE-HEAD, Columbia Angle Head, Columbia Tools",Columbia Angle Head,"Shop Columbia Angle Head, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Angle Head,"Columbia Tools, drywall tools, DTB-COL-ANGLE-HEAD",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,angle-heads,angle-heads,0,,,,,2AH,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variation,2AH,,"Columbia Angle Head - 2""",1,0,visible,"The 2"" Columbia Angle Head delivers professional-grade drywall finishing performance. The Columbia Angle Head delivers professional-grade finishing for 90-degree internal angles, ensuring consistent compoun.","<p>Columbia Angle Head is engineered to deliver precise, professional finishes on 90-degree internal angles, ensuring consistent joint compound application and proper feathering of edges. Constructed from precision-machined billet aluminum and durable stainless steel, this commercial-grade tool provides superior performance and extended wear life for demanding drywall projects.</p><h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Ensures a fool-proof attachment to the ball, maintaining stability during operation.</li><li><strong>Enhanced Durability:</strong> Features robust stainless steel wings, designed for significantly longer wear compared to nickel-plated alternatives.</li><li><strong>Solid Billet Aluminum Body:</strong> Provides exceptional longevity and resilience, outperforming cast bodies, finished with an anodized gun metal color.</li><li><strong>Clear Wing Identification:</strong> Wings are engraved for easy left and right identification, streamlining setup and use.</li><li><strong>Superior Finish Quality:</strong> Consistently produces a finely feathered finish, ideal for seamless integration of compound over tape after corner rolling.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,358.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_2ah_01.webp,,,COL-ANGLE-HEAD,,,,,,1,Columbia Tools,Size,"2""",1,0,,"2AH, Columbia Angle Head - 2"", Columbia Tools","Columbia Angle Head - 2""","Shop Columbia Angle Head - 2"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Angle Head - 2""","Columbia Tools, drywall tools, 2AH",Columbia Tools,2AH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-ANGLE-HEAD,Size,"2""","2""",,1,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,
,variation,2.5AH,,"Columbia Angle Head - 2.5""",0,0,hidden,"The 2.5"" Columbia Angle Head delivers professional-grade drywall finishing performance. The Columbia Angle Head delivers professional-grade finishing for 90-degree internal angles, ensuring consistent compoun.","<p>Columbia Angle Head is engineered to deliver precise, professional finishes on 90-degree internal angles, ensuring consistent joint compound application and proper feathering of edges. Constructed from precision-machined billet aluminum and durable stainless steel, this commercial-grade tool provides superior performance and extended wear life for demanding drywall projects.</p><h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Ensures a fool-proof attachment to the ball, maintaining stability during operation.</li><li><strong>Enhanced Durability:</strong> Features robust stainless steel wings, designed for significantly longer wear compared to nickel-plated alternatives.</li><li><strong>Solid Billet Aluminum Body:</strong> Provides exceptional longevity and resilience, outperforming cast bodies, finished with an anodized gun metal color.</li><li><strong>Clear Wing Identification:</strong> Wings are engraved for easy left and right identification, streamlining setup and use.</li><li><strong>Superior Finish Quality:</strong> Consistently produces a finely feathered finish, ideal for seamless integration of compound over tape after corner rolling.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_25ah_04.webp",,,COL-ANGLE-HEAD,,,,,,2,Columbia Tools,Size,"2.5""",1,0,,"2.5AH, Columbia Angle Head - 2.5"", Columbia Tools","Columbia Angle Head - 2.5""","Shop Columbia Angle Head - 2.5"", catalog-normalized for professional drywall finishing workflows.",,"noindex,follow","Columbia Angle Head - 2.5""","Columbia Tools, drywall tools, 2.5AH",Columbia Tools,2.5AH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-ANGLE-HEAD,Size,"2.5""","2.5""",,2,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variation,3AH,,"Columbia Angle Head - 3""",1,0,visible,"The 3"" Columbia Angle Head delivers professional-grade drywall finishing performance. The Columbia Angle Head delivers professional-grade finishing for 90-degree internal angles, ensuring consistent compoun.","<p>Columbia Angle Head is engineered to deliver precise, professional finishes on 90-degree internal angles, ensuring consistent joint compound application and proper feathering of edges. Constructed from precision-machined billet aluminum and durable stainless steel, this commercial-grade tool provides superior performance and extended wear life for demanding drywall projects.</p><h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Ensures a fool-proof attachment to the ball, maintaining stability during operation.</li><li><strong>Enhanced Durability:</strong> Features robust stainless steel wings, designed for significantly longer wear compared to nickel-plated alternatives.</li><li><strong>Solid Billet Aluminum Body:</strong> Provides exceptional longevity and resilience, outperforming cast bodies, finished with an anodized gun metal color.</li><li><strong>Clear Wing Identification:</strong> Wings are engraved for easy left and right identification, streamlining setup and use.</li><li><strong>Superior Finish Quality:</strong> Consistently produces a finely feathered finish, ideal for seamless integration of compound over tape after corner rolling.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,367.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_3ah_01.webp,,,COL-ANGLE-HEAD,,,,,,3,Columbia Tools,Size,"3""",1,0,,"3AH, Columbia Angle Head - 3"", Columbia Tools","Columbia Angle Head - 3""","Shop Columbia Angle Head - 3"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Angle Head - 3""","Columbia Tools, drywall tools, 3AH",Columbia Tools,3AH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-ANGLE-HEAD,Size,"3""","3""",,3,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,
