brand,name,description_full,sku,upc,price,price_numeric,description_short,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9
TapeTech,Ames Bazooka Continuous Flow Corner Finishing Bundle,"## Revolutionize Your Drywall Workflow

Experience unparalleled efficiency with the TapeTech BAZOOKA™ Continuous Flow Corner Finishing Bundle. Engineered for high-volume professionals, this system eliminates the downtime associated with manual reloading, allowing you to maintain a steady, uninterrupted pace across every project. By integrating a constant supply of joint compound directly to your finishing tools, this bundle transforms your output, ensuring cleaner lines and faster completion times without sacrificing precision.

## Seamless Integration for Peak Performance

Designed to bridge the gap between traditional manual taping and advanced automation, the Continuous Flow system is built for intuitive operation. If you are already familiar with standard automatic taping tools, the transition to this high-capacity setup requires minimal training, allowing your crew to hit the ground running immediately. This system is the ultimate upgrade for contractors looking to maximize their daily square footage while reducing physical fatigue.

## Key Features

- **Continuous Compound Delivery:** Eliminates the need for frequent manual pump reloading, keeping your tools active on the wall for longer durations.
- **Optimized Workflow:** Dramatically reduces project timelines by maintaining a constant, reliable flow of compound to your finishing attachments.
- **Professional-Grade Reliability:** Built with the rugged durability TapeTech is known for, ensuring consistent performance in demanding job site conditions.
- **Low Learning Curve:** Designed for seamless adoption by experienced automatic taping tool operators.
- **Enhanced Productivity:** Maximizes efficiency by minimizing the stop-and-start cycles inherent in conventional drywall finishing methods.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | TapeTech |
| Product Name | Ames Bazooka Continuous Flow Corner Finishing Bundle |
| SKU | CFCRNR |
| UPC | 810135983815 |
| System Type | Continuous Flow Drywall Finishing |",CFCRNR,810135983815,"$11,865.50",11865.5,TapeTech BAZOOKA™ Continuous Flow Drywall Tools,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3177/1802/0000089_7__51331.1675191903.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3177/2918/cfs-cor__24051.1675191919.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3177/2186/ames_conf_3__00893.1675191909.jpg?c=1&imbypass=on,,,,,,
Asgard,Asgard Fiberglass Handle,"## Elevate Your Drywall Finishing Precision

Achieve professional-grade results with the Asgard Fiberglass Support Handle, a robust and versatile solution engineered for the demands of modern drywall finishing. Designed to integrate seamlessly into your existing workflow, this handle provides the stability and control required for high-efficiency taping and finishing tasks. Whether you are operating corner rollers or angle boxes, this tool is built to withstand the rigors of the job site while maintaining a lightweight, manageable profile.

## Engineered for Professional Performance

This support handle is crafted with a focus on operator comfort and mechanical reliability. The 1.25-inch diameter shaft offers an ergonomic grip that reduces hand fatigue during extended use, while the specialized D-shaped fitting ensures a rock-solid connection. By eliminating unwanted rotation, this design allows for precise, fluid movements, ensuring your tools perform exactly as intended every time you engage them.

## Key Features

- **Universal Compatibility:** Fully compatible with a wide range of finishing tools, including Angle Boxes, Angle Heads, Corner Rollers, and Nail Spotters.
- **Anti-Rotation D-Fitting:** Features a precision-engineered D-shaped connector that locks securely into Asgard Angle Boxes for maximum stability.
- **Ergonomic Design:** The 1.25-inch diameter handle is optimized for a comfortable, secure grip, minimizing strain during repetitive motions.
- **Durable Construction:** Built from high-strength fiberglass to provide a perfect balance between lightweight portability and long-term structural integrity.
- **Professional Reliability:** Designed to meet the high standards of drywall contractors who demand consistent performance and efficiency.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | Fiberglass Support Handle |
| SKU | FH-AD |
| Handle Diameter | 1.25 inches |
| Material | Fiberglass |
| Compatibility | Corner Rollers, Angle Boxes, Angle Heads, Nail Spotters |",FH-AD,,$43.00,43.0,Asgard Fiberglass Support Handle,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3943/5805/screenshot_2024-12-20_140420__51736.1748975378.png?c=1&imbypass=on,,,,,,,,
Asgard,Asgard “Hammer” Automatic Taper,"## Elevate Your Drywall Workflow with the Asgard Hammer

Experience a new benchmark in professional drywall finishing with the Asgard Hammer Automatic Taper. Engineered for contractors who demand reliability and precision, this tool streamlines the taping process by simultaneously applying joint tape and the exact amount of compound required. By integrating high-grade materials with an ergonomic design, the Hammer reduces physical strain while significantly accelerating your daily output on the job site.

## Built for the Demanding Professional

Durability is at the core of the AT01-AD design. Constructed with robust stainless steel side plates and a hard-anodized push rod, this taper is built to withstand the harsh, high-moisture environments typical of drywall installation. The inclusion of a specialized cable drum ensures smooth, consistent operation, while the tool-free maintenance design allows you to spend more time working and less time servicing your equipment.

## Key Features

- **Precision Application:** Simultaneously dispenses tape and compound for a seamless, professional finish every time.
- **Enhanced Durability:** Features corrosion-resistant stainless steel side plates and a hard-anodized push rod for extended service life.
- **Ergonomic Control:** Enclosed rollers on the control tube provide a comfortable, secure grip while protecting your hands during repetitive motions.
- **High-Reach Efficiency:** Equipped with a dedicated control tube flange, allowing for effortless tape cutting even when working on high ceilings or elevated surfaces.
- **Tool-Free Maintenance:** The streamlined tube protector design simplifies cleaning and upkeep, requiring no additional tools for disassembly.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | Hammer Automatic Taper |
| Model Number | AT01-AD |
| UPC | 0873876004492 |
| Material Construction | Stainless Steel, Hard Anodized Aluminum |
| Primary Function | Joint tape and compound application |",AT01-AD,0873876004492,"$1,271.00",1271.0,"Introducing the Asgard® ""HAMMER™"" Automatic Taper, setting a new standard for value in drywall tools. This innovative taper seamlessly applies joint tape and precisely measures joint compound, revolutionizing taping efficiency. The AT01-AD model boasts stainless steel side plates, a hard anodized push rod, and a cable drum, ensuring durability and corrosion resistance for long-lasting performance. Enhanced with enclosed rollers on the control tube for a comfortable grip and hand protection, the",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4101/5766/screenshot_2024-05-13_051015__52115.1748975354.jpg?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 10"" and 12"" Flat Box Combo Set","## Professional-Grade Drywall Finishing Efficiency

Elevate your drywall finishing workflow with the Asgard 10"" and 12"" Flat Box Combo Set. Engineered for contractors who demand consistent, high-quality results without the premium overhead, this comprehensive kit provides the essential tools required to achieve seamless, professional-grade joints. Whether you are tackling residential renovations or large-scale commercial projects, this set offers the perfect balance of durability, precision, and ergonomic control.

## Precision Performance for Every Joint

This set is meticulously curated to streamline your taping and finishing process. The inclusion of both 10-inch and 12-inch flat boxes allows for versatile application, ensuring you have the right tool for initial fills and final coats on both flat seams and butt joints. The high-capacity loading pump and filler adapter work in tandem to minimize downtime, allowing for rapid, mess-free refills so you can maintain your momentum throughout the workday. With the extendable handle, you gain the reach necessary to finish high walls and ceilings with improved posture and reduced fatigue.

## Key Features

- **Dual-Size Versatility:** Includes both 10"" and 12"" flat boxes to accommodate various stages of the finishing process and different joint widths.
- **Rapid Refill System:** The high-performance loading pump and dedicated filler adapter ensure quick transitions and maximum uptime on the job site.
- **Ergonomic Reach:** The extendable flat box handle provides adjustable length, allowing for precise control and access to hard-to-reach areas without the need for constant ladder repositioning.
- **Field-Proven Durability:** Built to withstand the rigors of daily professional use, these tools offer reliable performance and consistent mud distribution.
- **Streamlined Workflow:** Designed to work as a cohesive system, reducing the time spent on manual finishing and sanding.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| SKU | AGFLATEXT |
| Included Components | 10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle |
| Model Numbers | EZ10-AD, EZ12-AD, LP01-AD, FA01-AD, FBE-AD |
| Application | Drywall Seam and Butt Joint Finishing |",AGFLATEXT,,"$1,357.00",1357.0,This kit includes the following,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3842/6134/ExtBoxset__15634.1755279119.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 10"" Flat Box","## Precision Performance for Professional Drywall Finishing

Elevate your finishing workflow with the Asgard 10"" Flat Box, a high-performance tool engineered for contractors who demand reliability and precision. Designed to integrate seamlessly into your existing toolkit, this flat box offers the robust build quality associated with TapeTech engineering while maintaining a streamlined, value-focused design. Whether you are tackling large-scale commercial projects or residential renovations, this tool provides the consistent mud application required for a flawless, professional-grade finish.

## Engineered for the Job Site

Constructed from premium-grade alloys, the Asgard 10"" Flat Box is built to endure the rigors of daily professional use. The unit features a sleek, durable black finish that resists wear, ensuring longevity even in demanding environments. With its universal compatibility, it pairs effortlessly with most major brand flat box handles, making it a versatile addition to any drywall professional's arsenal. The intuitive design allows for rapid adjustments and simplified maintenance, keeping you productive throughout the workday.

## Key Features

- **Precision Mud Control:** Features an easy-to-use dial adjustment system that allows for precise, consistent compound output on every pass.
- **Universal Compatibility:** Designed to fit seamlessly with standard flat box handles from most major industry manufacturers.
- **Rugged Construction:** Manufactured from high-strength, professional-grade alloys to withstand heavy-duty job site conditions.
- **Rapid Maintenance:** Equipped with quick-release thumb latches that allow for fast, hassle-free cleaning and blade changes.
- **Optimized Application:** Perfectly sized for applying base coats to flat seams and butt joints with professional accuracy.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | Asgard 10"" Flat Box |
| SKU | EZ10-AD |
| UPC | 0873876004515 |
| Box Width | 10 inches |
| Material | High-strength alloy |
| Compatibility | Standard flat box handles |",EZ10-AD,0873876004515,$344.00,344.0,"Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, fine",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5963/EZ10-AD_Front__19435.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5965/EZ10-AD_Back__06841.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5964/EZ10-AD_Hero_Left__60784.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5967/EZ10-AD_Hero_Rear_L__85636.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5966/EZ10-AD_Hero_Rear_R__39208.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5969/EZ10-AD_Left__35156.1752517380.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3925/5968/EZ10-AD_Right__18180.1752517380.png?c=1&imbypass=on,,
Asgard,"Asgard 10"" MaxxBox Finishing Box","## Master Your Drywall Finish with the Asgard 10"" MAXXBOX

Achieve professional-grade results with the Asgard 10"" MAXXBOX Finishing Box, an essential tool engineered for contractors who demand efficiency and reliability. Built to withstand the rigors of demanding job sites, this high-capacity finishing box combines robust alloy construction with an intuitive design that streamlines your workflow, allowing you to tackle flat seams and butt joints with unparalleled speed and precision.

## Unmatched Capacity and Control

The MAXXBOX design is a game-changer for productivity, boasting a capacity that holds up to 68% more joint compound than standard high-capacity alternatives. By significantly reducing the frequency of refills, this tool allows you to maintain momentum throughout the day, minimizing fatigue and maximizing your output. The integrated easy-dial adjustment system provides granular control over mud flow, ensuring a consistent, uniform application that requires minimal sanding and touch-up work.

## Key Features

- **High-Capacity Efficiency:** The advanced reservoir design holds 68% more compound, drastically cutting down downtime spent on refills.
- **Universal Compatibility:** Engineered to integrate seamlessly with most major flat box handle brands, providing versatile utility for your existing tool kit.
- **Precision Mud Control:** Features an easy-to-use dial adjustment mechanism for consistent, reliable output on every pass.
- **Rugged Construction:** Crafted from premium-grade alloys to ensure long-term durability and resistance to job-site wear and tear.
- **Professional Finish:** Specifically optimized for high-quality, smooth finishes on both flat seams and butt joints.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 10"" MaxxBox Finishing Box |
| SKU | EHC10-AD |
| Box Size | 10 inches |
| Construction Material | Premium-grade alloys |
| Compatibility | Universal (fits most major handle brands) |",EHC10-AD,,$374.00,374.0,"Asgard 10"" MAXXBOX Flat Box",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3906/5803/screenshot_2024-12-20_140917__23306.1748975375.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 10"" Power Assist Finishing Box","## Elevate Your Drywall Finishing Efficiency

Master the art of the perfect seam with the Asgard 10"" Power Assist Finishing Box. Designed for the high-demand professional, this tool integrates advanced spring-loaded technology to minimize physical strain while maximizing the consistency of your compound application. By automating the pressure required for a smooth finish, it allows you to maintain peak productivity throughout long shifts without sacrificing the quality of your work.

## Precision Engineering for Professional Results

Constructed from high-grade, lightweight aluminum, this finishing box is built to withstand the rigors of daily job-site use while remaining easy to maneuver. The precision-ground stainless steel blade ensures a clean, feathered edge every time, significantly reducing the need for extensive sanding. The 10-inch width is specifically calibrated for wider seams, providing the versatility needed to handle both residential and commercial projects with ease.

## Key Features

- **Power-Assist Technology:** Integrated spring mechanism reduces manual effort and ensures uniform compound distribution.
- **Durable Construction:** Rugged aluminum body offers an optimal balance of strength and weight for all-day comfort.
- **Professional Blade:** High-quality stainless steel blade provides consistent, sharp edges for a superior finish.
- **Optimized Width:** The 10-inch profile is ideal for efficient coverage on wider drywall joints and transitions.
- **Ergonomic Design:** Engineered to decrease operator fatigue, allowing for faster completion times on large-scale installations.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 10"" Power Assist Finishing Box |
| SKU | PA10-AD |
| Material | Aluminum and Stainless Steel |
| Width | 10 inches |",PA10-AD,,$442.00,442.0,"Asgard 10"" Power Assist Finishing Box",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3937/5839/screenshot_2024-12-20_093259__39236.1748975399.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 12"" Flat Box","## Professional-Grade Finishing Performance

Elevate your drywall finishing efficiency with the Asgard 12"" Flat Box. Engineered for contractors who demand reliability and precision, this tool provides a cost-effective solution without compromising on build quality. Whether you are tackling flat seams or butt joints, this robust applicator ensures a smooth, professional finish that stands up to the rigors of demanding job sites.

## Built for the Modern Contractor

Constructed from premium-grade alloys, the Asgard 12"" Flat Box is designed for longevity and consistent performance. Its universal compatibility allows it to integrate seamlessly with existing handles from all major industry brands, making it a versatile addition to your current tool kit. The intuitive design features quick-release thumb latches, significantly reducing downtime during cleanup, while the precision dial adjustment allows for granular control over mud output, ensuring perfect consistency on every pass.

## Key Features

- **Universal Compatibility:** Designed to fit handles from all major drywall tool manufacturers for maximum versatility.
- **Precision Mud Control:** Integrated dial adjustment system provides exact, consistent mud flow for flawless seam finishing.
- **Rugged Construction:** Manufactured from high-strength alloys to withstand heavy-duty daily use.
- **Rapid Maintenance:** Quick-release thumb latches enable fast disassembly for thorough cleaning and maintenance.
- **Professional Versatility:** Optimized for both flat seams and butt joints, delivering high-quality results across various applications.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 12"" Flat Box |
| SKU | EZ12-AD |
| UPC | 0873876004522 |
| Tool Width | 12 inches |
| Compatibility | Universal (Major Brands) |
| Material | High-Quality Alloy |",EZ12-AD,0873876004522,$327.00,327.0,"Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finish",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5973/EZ12-AD_Front__76822.1752519870.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5975/EZ12-AD_Back__94815.1752519870.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5976/EZ12-AD_Hero_Left__42437.1752519870.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5978/EZ12-AD_Hero_Rear_L__68605.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5977/EZ12-AD_Hero_Rear_R__59045.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5974/EZ12-AD_Hero_Right__99010.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5979/EZ12-AD_Left__53136.1752519871.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3933/5980/EZ12-AD_Right__44550.1752519871.png?c=1&imbypass=on,
Asgard,"Asgard 12"" Power Assist Finishing Box","## Elevate Your Drywall Finishing Precision

Achieve professional-grade results with the Asgard 12"" Power Assist Finishing Box, a high-performance tool designed to streamline your workflow and reduce physical fatigue. By integrating advanced power-assist spring technology, this finishing box allows for a smoother, more consistent application of joint compound, ensuring that even the most demanding drywall projects are completed with superior efficiency and minimal strain.

## Engineered for Professional Performance

Built to meet the rigorous demands of the job site, this 12-inch finishing box is constructed from high-grade, lightweight aluminum to provide a perfect balance of durability and maneuverability. The precision-engineered stainless steel blade ensures a clean, uniform finish across wide seams, eliminating the need for extensive sanding and rework. Whether you are tackling large-scale commercial installations or high-end residential projects, this tool provides the reliability and control required for a flawless, seamless transition every time.

## Key Features

- **Power-Assist Technology:** Integrated spring mechanism significantly reduces the force required to dispense compound, increasing productivity throughout the workday.
- **High-Capacity 12"" Design:** Optimized for wide-seam finishing, providing excellent coverage and a smooth, professional-grade surface.
- **Durable Construction:** Features a rugged aluminum housing that resists wear and tear while maintaining a lightweight profile for all-day comfort.
- **Precision Stainless Steel Blade:** Delivers consistent compound thickness and superior edge control for a perfect finish on every pass.
- **Professional Reliability:** Designed specifically for drywall contractors who demand precision, longevity, and consistent performance in the field.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 12"" Power Assist Finishing Box |
| SKU | PA12-AD |
| Blade Width | 12 inches |
| Material | Aluminum Housing / Stainless Steel Blade |
| Application | Drywall Joint Finishing |",PA12-AD,,$456.00,456.0,"Asgard 12"" Power Assist Finishing Box",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3941/5840/screenshot_2024-12-20_100733__52499.1748975400.png?c=1&imbypass=on,,,,,,,,
Asgard,"Asgard 2.5"" Angle Head","## Achieve Flawless Internal Corners with Precision

Elevate your drywall finishing standards with the Asgard 2.5"" Angle Head. Engineered for professionals who demand speed without sacrificing quality, this tool is designed to feather joint compound across both sides of an internal corner simultaneously. Whether you are tackling vertical wall-to-wall joints or horizontal wall-to-ceiling transitions, this angle head delivers a consistent, professional-grade finish in one efficient motion.

## Streamline Your Taping Workflow

Integrating seamlessly into your existing taping setup, the Asgard Angle Head is the perfect follow-up to your corner roller. Once your tape is firmly embedded, this tool glides effortlessly to wipe down excess compound, leaving behind a smooth, feathered edge that requires minimal sanding. By reducing manual touch-ups, it significantly cuts down on labor time while ensuring your corners are ready for the final coat.

## Key Features

- **Dual-Sided Efficiency:** Simultaneously feathers both sides of an internal corner for a perfectly symmetrical finish in a single pass.
- **Versatile Application:** Optimized for use on both wall-to-wall and wall-to-ceiling intersections.
- **Professional Consistency:** Eliminates the guesswork of manual feathering, providing uniform results across every room.
- **Optimized Workflow:** Designed to work in tandem with corner rollers to accelerate the taping process.
- **Durable Construction:** Built to withstand the rigors of daily job site use while maintaining precision performance.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 2.5"" Angle Head |
| SKU | AH25-AD |
| UPC | 0873876004539 |
| Tool Size | 2.5 inches |
| Application | Internal corner finishing |",AH25-AD,0873876004539,$316.00,316.0,"The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using acorner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5905/asgard-2-5-angle-head_1__69656.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5903/asgard-2-5-angle-head_3__33674.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5906/asgard-2-5-angle-head_2__65162.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5904/asgard-2-5-angle-head_4__92991.1750258631.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4103/5907/asgard-2-5-angle-head__47349.1750258631.jpg?c=1&imbypass=on,,,,
