brand,sku,mpn,old_path,new_path,image_index,is_primary,source,row_id,confidence,status
Asgard,4I-SJ80-1WRW,4I-SJ80-1WRW,scripts/scraped_results/Products/4i-sj80-1wrw.webp,scripts/scraped_results/Products/asgard/4i-sj80-1wrw/sku-4i-sj80-1wrw__mpn-4i-sj80-1wrw__img-01.webp,1,True,catalog_url,1,high,mapped
Asgard,4K-S6F6-8HQ6,4K-S6F6-8HQ6,scripts/scraped_results/Products/4k-s6f6-8hq6.webp,scripts/scraped_results/Products/asgard/4k-s6f6-8hq6/sku-4k-s6f6-8hq6__mpn-4k-s6f6-8hq6__img-01.webp,1,True,catalog_url,2,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/9r-pir7-otnl.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-01.webp,1,True,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/ez10-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-02.webp,2,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/ez12-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-03.webp,3,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/lp01-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-04.webp,4,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/cr01-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-05.webp,5,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/ah30-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-06.webp,6,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/cfa-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-07.webp,7,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/fh-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-08.webp,8,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/gn01-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-09.webp,9,False,catalog_url,3,high,mapped
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,scripts/scraped_results/Products/fa01-ad.webp,scripts/scraped_results/Products/asgard/9r-pir7-otnl/sku-9r-pir7-otnl__mpn-9r-pir7-otnl__img-10.webp,10,False,catalog_url,3,high,mapped
Asgard,AGFLATEXT,AGFLATEXT,scripts/scraped_results/Products/agflatext.webp,scripts/scraped_results/Products/asgard/agflatext/sku-agflatext__mpn-agflatext__img-01.webp,1,True,catalog_url,4,high,mapped
Asgard,AGFLATEXT,AGFLATEXT,scripts/scraped_results/Products/agflatext_01.webp,scripts/scraped_results/Products/asgard/agflatext/sku-agflatext__mpn-agflatext__img-02.webp,2,False,catalog_url,4,high,mapped
Asgard,AGFLATEXT,AGFLATEXT,scripts/scraped_results/Products/ez10-ad.webp,scripts/scraped_results/Products/asgard/agflatext/sku-agflatext__mpn-agflatext__img-03.webp,3,False,catalog_url,4,medium,conflict
Asgard,AGFLATEXT,AGFLATEXT,scripts/scraped_results/Products/ez12-ad.webp,scripts/scraped_results/Products/asgard/agflatext/sku-agflatext__mpn-agflatext__img-04.webp,4,False,catalog_url,4,medium,conflict
Asgard,AGFLATEXT,AGFLATEXT,scripts/scraped_results/Products/lp01-ad.webp,scripts/scraped_results/Products/asgard/agflatext/sku-agflatext__mpn-agflatext__img-05.webp,5,False,catalog_url,4,medium,conflict
Asgard,AGFLATEXT,AGFLATEXT,scripts/scraped_results/Products/fbhe-ad.webp,scripts/scraped_results/Products/asgard/agflatext/sku-agflatext__mpn-agflatext__img-06.webp,6,False,catalog_url,4,high,mapped
Asgard,AGFLATEXT,AGFLATEXT,scripts/scraped_results/Products/fa01-ad.webp,scripts/scraped_results/Products/asgard/agflatext/sku-agflatext__mpn-agflatext__img-07.webp,7,False,catalog_url,4,medium,conflict
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah25-ad.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-01.webp,1,True,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah25-ad_01.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-02.webp,2,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah25-ad_02.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-03.webp,3,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah25-ad_03.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-04.webp,4,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah30-ad.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-05.webp,5,False,catalog_url,5,medium,conflict
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah30-ad_01.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-06.webp,6,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah30-ad_02.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-07.webp,7,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah30-ad_03.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-08.webp,8,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah35-ad.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-09.webp,9,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah35-ad_01.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-10.webp,10,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah35-ad_02.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-11.webp,11,False,catalog_url,5,high,mapped
Asgard,AH-AD,AH-AD,scripts/scraped_results/Products/ah35-ad_03.webp,scripts/scraped_results/Products/asgard/ah-ad/sku-ah-ad__mpn-ah-ad__img-12.webp,12,False,catalog_url,5,high,mapped
Asgard,AH25-AD,AH25-AD,scripts/scraped_results/Products/ah25-ad.webp,scripts/scraped_results/Products/asgard/ah25-ad/sku-ah25-ad__mpn-ah25-ad__img-01.webp,1,True,catalog_url,6,medium,conflict
