Brands,Type,SKU,MPN,Name,Description,Short description,Categories
Asgard,variation,4I-SJ80-1WRW,4I-SJ80-1WRW,"Asgard 8"" Angle Box with Extendable Handle (4I-SJ80-1WRW)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variable,ASGARD-AB8,ASGARD-AB8,"Asgard 8"" Angle Box","<p>The Asgard 8"" Angle Box delivers consistent, professional-grade joint compound application in internal 90-degree drywall corners. Available in two handle configurations—Fixed Handle (4K-S6F6-8HQ6) for superior leverage and stability, and Extendable Handle (4I-SJ80-1WRW) for reaching high corners and ceilings without constant ladder repositioning. Both feature a durable anodized aluminum body and stainless steel nose cone for long-term reliability.</p><ul><li><strong>Two Handle Options:</strong> Fixed handle for control and stability; extendable handle for high-reach applications.</li><li><strong>High-Capacity 8"" Box:</strong> Holds more compound for longer runs between refills.</li><li><strong>Durable Construction:</strong> Anodized aluminum frame with stainless steel nose cone.</li><li><strong>Professional Finish:</strong> Works with angle heads for consistent, clean corner coating in one pass.</li><li><strong>Corrosion Resistant:</strong> Stainless steel components for job site longevity.</li></ul>","Asgard 8"" Angle Box available with Fixed Handle (4K-S6F6-8HQ6) or Extendable Handle (4I-SJ80-1WRW). Professional-grade drywall corner box for efficient internal corner compound application.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variation,4K-S6F6-8HQ6,4K-S6F6-8HQ6,"Asgard 8"" Angle Box with Fixed Handle (4K-S6F6-8HQ6)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,simple,9R-PIR7-OTNL,9R-PIR7-OTNL,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set) (9R-PIR7-OTNL),"<p>Asgard Full Taping Tool Set (9R-PIR7-OTNL) provides a comprehensive, high-performance system for professional drywall finishing. This set is engineered to handle the rigors of daily job site use, ensuring consistent compound application and precise corner finishing for high-quality results on both commercial and residential projects.</p><p>Designed for durability and operational efficiency, these tools reduce physical strain during extended shifts. The system is fully supported by the TapeTech service network, ensuring long-term reliability and maintenance support.</p><p><strong>Features:</strong></p><ul><li><strong>Complete Finishing System:</strong> Includes all essential components for taping, pumping, and finishing, featuring both 10-inch and 12-inch boxes.</li><li><strong>Precision Corner Work:</strong> Equipped with a 3-inch angle head and corner roller to deliver clean, sharp inside corners.</li><li><strong>Ergonomic Design:</strong> Features lightweight, extendable handles to improve reach and minimize operator fatigue.</li><li><strong>Reliable Construction:</strong> Built with rugged materials to withstand heavy-duty use and minimize the need for rework.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>9R-PIR7-OTNL</td></tr><tr><td>UPC</td><td>0873876005376</td></tr><tr><td>Warranty</td><td>5-Year Limited Warranty</td></tr><tr><td>Set Includes</td><td>Hammer Automatic Taper (AT01-AD), 10"" Finish Box (EZ10-AD), 12"" Finish Box (EZ12-AD), Loading Pump (LP01-AD), Corner Roller, 3"" Angle Head, Angle Head Adapter, Fiberglass Handle, Gooseneck, Filler Adapter</td></tr></tbody></table>","A comprehensive, professional-grade drywall taping and finishing system engineered for maximum efficiency and consistent, high-quality results.",Drywall Finishing Tools > Asgard > Tool Sets & Bundles
Asgard,simple,AGFLATEXT,AGFLATEXT,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)","<p>Asgard 10"" and 12"" Flat Box Combo Set provides a streamlined, professional-grade solution for drywall finishing, engineered to maximize efficiency on flat seams and butt joints. This comprehensive kit combines essential tools to reduce manual labor and ensure consistent compound application across various stages of the finishing process.</p><p>The system is built for durability and ease of use, featuring high-quality aluminum components and an anodized finish for long-term reliability on demanding job sites. The included extendable handle offers versatile reach, while the loading pump and filler adapter facilitate rapid, mess-free refills to maintain steady production flow.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Size Versatility:</strong> Includes both 10-inch and 12-inch flat boxes to accommodate different finishing stages, from initial fills to final coats.</li><li><strong>Efficient Refill System:</strong> High-performance loading pump and dedicated filler adapter allow for quick, clean transitions between fills.</li><li><strong>Adjustable Reach:</strong> Extendable handle provides precise control and access to high walls and ceilings without the need for constant ladder repositioning.</li><li><strong>Field-Tested Durability:</strong> Constructed with high-quality alloys and an anodized finish to withstand daily professional use.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>AGFLATEXT</td></tr><tr><td>Application</td><td>Drywall Seam and Butt Joint Finishing</td></tr><tr><td>Set Includes</td><td>10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle</td></tr><tr><td>Model Numbers</td><td>EZ10-AD, EZ12-AD, LP01-AD, FA01-AD, FBE-AD</td></tr></tbody></table>","This professional-grade drywall finishing kit features 10-inch and 12-inch flat boxes, a loading pump, filler adapter, and an extendable handle for efficient, consistent compound application.",Drywall Finishing Tools > Asgard > Tool Sets & Bundles
Asgard,variable,AH-AD,AH-AD,Asgard Angle Head,"<p>The Asgard Angle Head is a professional-grade finisher engineered to simultaneously feather joint compound on both sides of internal 90-degree corners. Available in 2.5"", 3"", and 3.5"" widths, these tools deliver a clean, uniform finish in a single pass, significantly reducing manual sanding. Built for high-volume production, they feature a corrosion-resistant die-cast aluminum body, stainless steel frames, and easy-roll rubber wheels to minimize friction. The patented positive ball retainer ensures a secure, reliable connection to your handle or applicator.</p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical finish.</li><li><strong>Durable Construction:</strong> Die-cast aluminum body with stainless steel frames and skids for job site longevity.</li><li><strong>Smooth Operation:</strong> Easy-roll wheels reduce drag on wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Fit:</strong> Patented positive ball retainer prevents accidental disconnects during use.</li><li><strong>Available Sizes:</strong> 2.5"" (AH25-AD), 3"" (AH30-AD), and 3.5"" (AH35-AD).</li></ul>","Professional Asgard Angle Head available in 2.5"", 3"", and 3.5"" sizes for precise, single-pass internal corner finishing.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variation,AH25-AD,AH25-AD,"Asgard 2.5"" Angle Head (AH25-AD)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variation,AH30-AD,AH30-AD,"Asgard 3"" Angle Head (AH30-AD)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variation,AH35-AD,AH35-AD,"Asgard 3.5"" Angle Head (AH35-AD)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,simple,BBH-AD,BBH-AD,Asgard Brakeless Box Handle (BBH-AD),"<p><strong>Asgard Brakeless Box Handle (BBH-AD)</strong> provides professional drywall finishers with a streamlined, high-performance tool designed for consistent, fluid operation. By replacing traditional mechanical braking systems with a precision-engineered friction brake, this handle removes the steep learning curve often associated with standard finishing box handles. It allows for smooth, uninterrupted strokes across both walls and ceilings, ensuring a uniform coat with minimal effort.</p><p>Constructed from durable, lightweight fiberglass, this handle is built to withstand the daily demands of a busy job site while reducing operator fatigue during extended use. The ergonomic knob allows for quick, intuitive adjustments to friction levels, giving the user complete control over the box position and pressure. It is compatible with all major brands of finishing boxes, making it a versatile and reliable addition to any professional toolkit.</p><p><strong>Features:</strong></p><ul><li><strong>Friction Brake Design:</strong> Eliminates complex mechanical linkages for a smoother, more predictable finish and a shorter learning curve.</li><li><strong>Ergonomic Control:</strong> Features an easy-to-adjust knob that allows for precise friction settings to suit individual preferences and specific job requirements.</li><li><strong>Durable Construction:</strong> Manufactured from lightweight, high-strength fiberglass that is easy to clean and resistant to job site wear.</li><li><strong>Universal Compatibility:</strong> Engineered to fit seamlessly with all major brands of automatic drywall finishing boxes.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>Model</td><td>BBH-AD</td></tr><tr><td>Length</td><td>34 inches (86 cm)</td></tr><tr><td>Material</td><td>Fiberglass</td></tr><tr><td>Brake Type</td><td>Friction Brake</td></tr><tr><td>Warranty</td><td>5-Year Limited (TapeTech)</td></tr></tbody></table>","The Asgard Brakeless Box Handle (BBH-AD) features a friction-based design that simplifies drywall finishing, offering smooth, consistent control and universal compatibility with major finishing box brands.",Drywall Finishing Tools > Asgard > Handles & Extensions
