sku,type,name,match_source,image_count,images,variation_image,catalog_images,status
TT-PREMIUM-FINISHING-KNIFE,variable,TapeTech Premium Finishing Knife,children,8,tapetech-PFK07TT-01.webp | tapetech-PFK12TT-01.webp | tapetech-PFK14TT-01.webp | tapetech-PFK18TT-01.webp | tapetech-PFK24TT-01.webp | tapetech-PFK32TT-01.webp | tapetech-PFK40TT-01.webp | tapetech-PFK48TT-01.webp,,tapetech-PFK07TT-01.webp | tapetech-PFK12TT-01.webp | tapetech-PFK14TT-01.webp | tapetech-PFK18TT-01.webp | tapetech-PFK24TT-01.webp | tapetech-PFK32TT-01.webp | tapetech-PFK40TT-01.webp | tapetech-PF,mapped
PFK07TT,variation,"TapeTech Premium Finishing Knife - 7""",primary:sku_direct,1,tapetech-PFK07TT-01.webp,tapetech-PFK07TT-01.webp,tapetech-PFK07TT-01.webp,mapped
PFK12TT,variation,"TapeTech Premium Finishing Knife - 12""",primary:sku_direct,1,tapetech-PFK12TT-01.webp,tapetech-PFK12TT-01.webp,tapetech-PFK12TT-01.webp,mapped
PFK14TT,variation,"TapeTech Premium Finishing Knife - 14""",primary:sku_direct,1,tapetech-PFK14TT-01.webp,tapetech-PFK14TT-01.webp,tapetech-PFK14TT-01.webp,mapped
PFK18TT,variation,"TapeTech Premium Finishing Knife - 18""",primary:sku_direct,1,tapetech-PFK18TT-01.webp,tapetech-PFK18TT-01.webp,tapetech-PFK18TT-01.webp,mapped
PFK24TT,variation,"TapeTech Premium Finishing Knife - 24""",primary:sku_direct,1,tapetech-PFK24TT-01.webp,tapetech-PFK24TT-01.webp,tapetech-PFK24TT-01.webp,mapped
PFK32TT,variation,"TapeTech Premium Finishing Knife - 32""",primary:sku_direct,1,tapetech-PFK32TT-01.webp,tapetech-PFK32TT-01.webp,tapetech-PFK32TT-01.webp,mapped
PFK40TT,variation,"TapeTech Premium Finishing Knife - 40""",primary:sku_direct,1,tapetech-PFK40TT-01.webp,tapetech-PFK40TT-01.webp,tapetech-PFK40TT-01.webp,mapped
PFK48TT,variation,"TapeTech Premium Finishing Knife - 48""",primary:sku_direct,1,tapetech-PFK48TT-01.webp,tapetech-PFK48TT-01.webp,tapetech-PFK48TT-01.webp,mapped
TT-X-PREMIUM-GOLD-STAINLESS-STEEL-MAXFLEXX-FINISHING-TROWEL,variable,TapeTech X Premium Gold Stainless Steel MAXFLEXX Finishing Trowel,children,20,tapetech-TG12053-PS-01.webp | tapetech-TG12053-PS-02.webp | tapetech-TG12053-PS-03.webp | tapetech-TG12053-PS-04.webp | tapetech-TG12053-PS-05.webp | tapetech-TG14053-PS-01.webp | tapetech-TG14053-PS-02.webp | tapetech-TG14053-PS-03.webp | tapetech-TG14053-PS-04.webp | tapetech-TG14053-PS-05.webp | tapetech-TG16053-PS-01.webp | tapetech-TG16053-PS-02.webp | tapetech-TG16053-PS-03.webp | tapetech-TG16053-PS-04.webp | tapetech-TG16053-PS-05.webp | tapetech-TG18053-PS-01.webp | tapetech-TG18053-PS-02.webp | tapetech-TG18053-PS-03.webp | tapetech-TG18053-PS-04.webp | tapetech-TG18053-PS-05.webp,,tapetech-TG12053-PS-01.webp | tapetech-TG12053-PS-02.webp | tapetech-TG12053-PS-03.webp | tapetech-TG12053-PS-04.webp | tapetech-TG12053-PS-05.webp | tapetech-TG14053-PS-01.webp | tapetech-TG14053-PS-,mapped
TG12053-PS,variation,"TapeTech X Premium Gold Stainless Steel MAXFLEXX Finishing Trowel - 12"" x 4.3""",primary:sku_direct,5,tapetech-TG12053-PS-01.webp | tapetech-TG12053-PS-02.webp | tapetech-TG12053-PS-03.webp | tapetech-TG12053-PS-04.webp | tapetech-TG12053-PS-05.webp,tapetech-TG12053-PS-01.webp,tapetech-TG12053-PS-01.webp | tapetech-TG12053-PS-02.webp | tapetech-TG12053-PS-03.webp | tapetech-TG12053-PS-04.webp | tapetech-TG12053-PS-05.webp,mapped
TG14053-PS,variation,"TapeTech X Premium Gold Stainless Steel MAXFLEXX Finishing Trowel - 14"" x 4.3""",primary:sku_direct,5,tapetech-TG14053-PS-01.webp | tapetech-TG14053-PS-02.webp | tapetech-TG14053-PS-03.webp | tapetech-TG14053-PS-04.webp | tapetech-TG14053-PS-05.webp,tapetech-TG14053-PS-01.webp,tapetech-TG14053-PS-01.webp | tapetech-TG14053-PS-02.webp | tapetech-TG14053-PS-03.webp | tapetech-TG14053-PS-04.webp | tapetech-TG14053-PS-05.webp,mapped
TG16053-PS,variation,"TapeTech X Premium Gold Stainless Steel MAXFLEXX Finishing Trowel - 16"" x 4.3""",primary:sku_direct,5,tapetech-TG16053-PS-01.webp | tapetech-TG16053-PS-02.webp | tapetech-TG16053-PS-03.webp | tapetech-TG16053-PS-04.webp | tapetech-TG16053-PS-05.webp,tapetech-TG16053-PS-01.webp,tapetech-TG16053-PS-01.webp | tapetech-TG16053-PS-02.webp | tapetech-TG16053-PS-03.webp | tapetech-TG16053-PS-04.webp | tapetech-TG16053-PS-05.webp,mapped
TG18053-PS,variation,"TapeTech X Premium Gold Stainless Steel MAXFLEXX Finishing Trowel - 18"" x 4.3""",primary:sku_direct,5,tapetech-TG18053-PS-01.webp | tapetech-TG18053-PS-02.webp | tapetech-TG18053-PS-03.webp | tapetech-TG18053-PS-04.webp | tapetech-TG18053-PS-05.webp,tapetech-TG18053-PS-01.webp,tapetech-TG18053-PS-01.webp | tapetech-TG18053-PS-02.webp | tapetech-TG18053-PS-03.webp | tapetech-TG18053-PS-04.webp | tapetech-TG18053-PS-05.webp,mapped
