rel_path,keep,reason,clean_bg,human_likely,white_trans_ratio,border_clean_ratio,skin_ratio,skin_border_ratio
columbia_tools_10fbb_02.webp,True,keep_clean_bg,True,False,0.703003,1.0,0.0,0.0
columbia_tools_10ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_12fbb_02.webp,True,keep_clean_bg,True,False,0.703003,1.0,0.0,0.0
columbia_tools_12ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_14ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_25ah_02.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_25ah_04.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_25ah_05.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_25ah_06.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_25sf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_25sf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_2ah_01.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_2ah_03.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_2ah_05.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_2ah_06.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_2ns_01.webp,True,keep_clean_bg,True,False,0.580444,0.985333,0.002686,0.0
columbia_tools_35ah_01.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_35ah_02.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_35ah_04.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_35ah_06.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_35sf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_35sf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_3ah_01.webp,True,keep_clean_bg,True,False,0.750636,0.993952,0.0,0.0
columbia_tools_3ah_02.webp,True,keep_clean_bg,True,False,0.62986,0.975904,0.0,0.0
columbia_tools_3ah_04.webp,True,keep_clean_bg,True,False,0.667419,0.999333,0.0,0.0
columbia_tools_3ah_06.webp,True,keep_clean_bg,True,False,0.696777,0.987333,0.0,0.0
columbia_tools_3ns_02.webp,True,keep_clean_bg,True,False,0.580444,0.985333,0.002686,0.0
columbia_tools_3sf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_3sf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_3wtsf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_3wtsf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_4sf_01.webp,True,keep_clean_bg,True,False,0.82546,1.0,0.000368,0.0
columbia_tools_4sf_02.webp,True,keep_clean_bg,True,False,0.836029,1.0,0.000184,0.0
columbia_tools_55ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_7cfb_01.webp,True,keep_clean_bg,True,False,0.708801,1.0,0.0,0.0
columbia_tools_7cfb_02.webp,True,keep_clean_bg,True,False,0.680969,1.0,0.0,0.0
columbia_tools_7cfb_03.webp,True,keep_clean_bg,True,False,0.81958,0.976667,0.0,0.0
columbia_tools_7cfb_04.webp,True,keep_clean_bg,True,False,0.686829,1.0,0.0,0.0
columbia_tools_7ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_8cfb_01.webp,True,keep_clean_bg,True,False,0.686829,1.0,0.0,0.0
columbia_tools_8cfb_02.webp,True,keep_clean_bg,True,False,0.708801,1.0,0.0,0.0
columbia_tools_8cfb_03.webp,True,keep_clean_bg,True,False,0.680969,1.0,0.0,0.0
columbia_tools_8cfb_04.webp,True,keep_clean_bg,True,False,0.81958,0.976667,0.0,0.0
columbia_tools_8fbb_02.webp,True,keep_clean_bg,True,False,0.703003,1.0,0.0,0.0
columbia_tools_8ffb_01.webp,True,keep_clean_bg,True,False,0.661438,0.994667,0.005798,0.0
columbia_tools_aha_01.webp,True,keep_clean_bg,True,False,0.920593,1.0,0.0,0.0
columbia_tools_bf_01.webp,True,keep_clean_bg,True,False,0.730896,0.961333,0.000305,0.0
columbia_tools_c1h_01.webp,True,keep_clean_bg,True,False,0.954651,1.0,0.0,0.0
columbia_tools_c1h_02.webp,True,keep_clean_bg,True,False,0.945251,1.0,6.1e-05,0.0
columbia_tools_c1h_03.webp,True,keep_clean_bg,True,False,0.880066,1.0,0.000366,0.0
columbia_tools_c1hext_01.webp,True,keep_clean_bg,True,False,0.954651,1.0,0.0,0.0
columbia_tools_c1hext_02.webp,True,keep_clean_bg,True,False,0.945251,1.0,6.1e-05,0.0
columbia_tools_c1hext_03.webp,True,keep_clean_bg,True,False,0.880066,1.0,0.000366,0.0
columbia_tools_c1hs_01.webp,True,keep_clean_bg,True,False,0.954651,1.0,0.0,0.0
columbia_tools_c1hs_02.webp,True,keep_clean_bg,True,False,0.945251,1.0,6.1e-05,0.0
columbia_tools_c1hs_03.webp,True,keep_clean_bg,True,False,0.880066,1.0,0.000366,0.0
columbia_tools_cbncr_01.webp,True,keep_clean_bg,True,False,0.699158,1.0,0.0,0.0
columbia_tools_cbncr_02.webp,True,keep_clean_bg,True,False,0.708923,1.0,0.0,0.0
columbia_tools_cbncr_03.webp,True,keep_clean_bg,True,False,0.720825,1.0,0.0,0.0
columbia_tools_cc_01.webp,True,keep_clean_bg,True,False,0.82114,1.0,0.003125,0.0
columbia_tools_cext90_01.webp,True,keep_clean_bg,True,False,0.586792,0.986667,0.0,0.0
columbia_tools_cext90_02.webp,True,keep_clean_bg,True,False,0.610535,1.0,0.0,0.0
columbia_tools_chxl_01.webp,True,keep_clean_bg,True,False,0.931458,0.995333,0.0,0.0
columbia_tools_clt24_01.webp,True,keep_clean_bg,True,False,0.922668,1.0,0.0,0.0
