Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
Asgard,EZ10-AD,,"Asgard 10"" Flat Box",simple,"<h2>Precision Performance for Professional Drywall Finishing</h2> <p>Elevate your finishing workflow with the Asgard 10"" Flat Box, a high-performance tool engineered for contractors who demand reliability and precision. Designed to integrate seamlessly into your existing toolkit, this flat box offers the robust build quality associated with TapeTech engineering while maintaining a streamlined, value-focused design. Whether you are tackling large-scale commercial projects or residential renovations, this tool provides the consistent mud application required for a flawless, professional-grade finish.</p> <h2>Engineered for the Job Site</h2> <p>Constructed from premium-grade alloys, the Asgard 10"" Flat Box is built to endure the rigors of daily professional use. The unit features a sleek, durable black finish that resists wear, ensuring longevity even in demanding environments. With its universal compatibility, it pairs effortlessly with most major brand flat box handles, making it a versatile addition to any drywall professional's arsenal. The intuitive design allows for rapid adjustments and simplified maintenance, keeping you productive throughout the workday.</p> <h2>Key Features</h2> <ul> <li><strong>Precision Mud Control:</strong> Features an easy-to-use dial adjustment system that allows for precise, consistent compound output on every pass.</li> <li><strong>Universal Compatibility:</strong> Designed to fit seamlessly with standard flat box handles from most major industry manufacturers.</li> <li><strong>Rugged Construction:</strong> Manufactured from high-strength, professional-grade alloys to withstand heavy-duty job site conditions.</li> <li><strong>Rapid Maintenance:</strong> Equipped with quick-release thumb latches that allow for fast, hassle-free cleaning and blade changes.</li> <li><strong>Optimized Application:</strong> Perfectly sized for applying base coats to flat seams and butt joints with professional accuracy.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | Asgard 10"" Flat Box |<br /> | SKU | EZ10-AD |<br /> | UPC | 0873876004515 |<br /> | Box Width | 10 inches |<br /> | Material | High-strength alloy |<br /> | Compatibility | Standard flat box handles |</p>","Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, fine",344.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ez10-ad.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"10"", Asgard, flat box",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,EHC10-AD,,"Asgard 10"" MaxxBox Finishing Box",simple,"<h2>Master Your Drywall Finish with the Asgard 10"" MAXXBOX</h2> <p>Achieve professional-grade results with the Asgard 10"" MAXXBOX Finishing Box, an essential tool engineered for contractors who demand efficiency and reliability. Built to withstand the rigors of demanding job sites, this high-capacity finishing box combines robust alloy construction with an intuitive design that streamlines your workflow, allowing you to tackle flat seams and butt joints with unparalleled speed and precision.</p> <h2>Unmatched Capacity and Control</h2> <p>The MAXXBOX design is a game-changer for productivity, boasting a capacity that holds up to 68% more joint compound than standard high-capacity alternatives. By significantly reducing the frequency of refills, this tool allows you to maintain momentum throughout the day, minimizing fatigue and maximizing your output. The integrated easy-dial adjustment system provides granular control over mud flow, ensuring a consistent, uniform application that requires minimal sanding and touch-up work.</p> <h2>Key Features</h2> <ul> <li><strong>High-Capacity Efficiency:</strong> The advanced reservoir design holds 68% more compound, drastically cutting down downtime spent on refills.</li> <li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with most major flat box handle brands, providing versatile utility for your existing tool kit.</li> <li><strong>Precision Mud Control:</strong> Features an easy-to-use dial adjustment mechanism for consistent, reliable output on every pass.</li> <li><strong>Rugged Construction:</strong> Crafted from premium-grade alloys to ensure long-term durability and resistance to job-site wear and tear.</li> <li><strong>Professional Finish:</strong> Specifically optimized for high-quality, smooth finishes on both flat seams and butt joints.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | 10"" MaxxBox Finishing Box |<br /> | SKU | EHC10-AD |<br /> | Box Size | 10 inches |<br /> | Construction Material | Premium-grade alloys |<br /> | Compatibility | Universal (fits most major handle brands) |</p>","Asgard 10"" MAXXBOX Flat Box",374.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ehc10-ad.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"10"", Asgard, finishing box, maxxbox",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,PA10-AD,,"Asgard 10"" Power Assist Finishing Box",simple,"<h2>Elevate Your Drywall Finishing Efficiency</h2> <p>Master the art of the perfect seam with the Asgard 10"" Power Assist Finishing Box. Designed for the high-demand professional, this tool integrates advanced spring-loaded technology to minimize physical strain while maximizing the consistency of your compound application. By automating the pressure required for a smooth finish, it allows you to maintain peak productivity throughout long shifts without sacrificing the quality of your work.</p> <h2>Precision Engineering for Professional Results</h2> <p>Constructed from high-grade, lightweight aluminum, this finishing box is built to withstand the rigors of daily job-site use while remaining easy to maneuver. The precision-ground stainless steel blade ensures a clean, feathered edge every time, significantly reducing the need for extensive sanding. The 10-inch width is specifically calibrated for wider seams, providing the versatility needed to handle both residential and commercial projects with ease.</p> <h2>Key Features</h2> <ul> <li><strong>Power-Assist Technology:</strong> Integrated spring mechanism reduces manual effort and ensures uniform compound distribution.</li> <li><strong>Durable Construction:</strong> Rugged aluminum body offers an optimal balance of strength and weight for all-day comfort.</li> <li><strong>Professional Blade:</strong> High-quality stainless steel blade provides consistent, sharp edges for a superior finish.</li> <li><strong>Optimized Width:</strong> The 10-inch profile is ideal for efficient coverage on wider drywall joints and transitions.</li> <li><strong>Ergonomic Design:</strong> Engineered to decrease operator fatigue, allowing for faster completion times on large-scale installations.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | 10"" Power Assist Finishing Box |<br /> | SKU | PA10-AD |<br /> | Material | Aluminum and Stainless Steel |<br /> | Width | 10 inches |</p>","Asgard 10"" Power Assist Finishing Box",442.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/pa10-ad.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"10"", Asgard, finishing box",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,AGFLATEXT,,"Asgard 10"" and 12"" Flat Box Combo Set",simple,"<h2>Professional-Grade Drywall Finishing Efficiency</h2> <p>Elevate your drywall finishing workflow with the Asgard 10"" and 12"" Flat Box Combo Set. Engineered for contractors who demand consistent, high-quality results without the premium overhead, this comprehensive kit provides the essential tools required to achieve seamless, professional-grade joints. Whether you are tackling residential renovations or large-scale commercial projects, this set offers the perfect balance of durability, precision, and ergonomic control.</p> <h2>Precision Performance for Every Joint</h2> <p>This set is meticulously curated to streamline your taping and finishing process. The inclusion of both 10-inch and 12-inch flat boxes allows for versatile application, ensuring you have the right tool for initial fills and final coats on both flat seams and butt joints. The high-capacity loading pump and filler adapter work in tandem to minimize downtime, allowing for rapid, mess-free refills so you can maintain your momentum throughout the workday. With the extendable handle, you gain the reach necessary to finish high walls and ceilings with improved posture and reduced fatigue.</p> <h2>Key Features</h2> <ul> <li><strong>Dual-Size Versatility:</strong> Includes both 10"" and 12"" flat boxes to accommodate various stages of the finishing process and different joint widths.</li> <li><strong>Rapid Refill System:</strong> The high-performance loading pump and dedicated filler adapter ensure quick transitions and maximum uptime on the job site.</li> <li><strong>Ergonomic Reach:</strong> The extendable flat box handle provides adjustable length, allowing for precise control and access to hard-to-reach areas without the need for constant ladder repositioning.</li> <li><strong>Field-Proven Durability:</strong> Built to withstand the rigors of daily professional use, these tools offer reliable performance and consistent mud distribution.</li> <li><strong>Streamlined Workflow:</strong> Designed to work as a cohesive system, reducing the time spent on manual finishing and sanding.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | SKU | AGFLATEXT |<br /> | Included Components | 10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle |<br /> | Model Numbers | EZ10-AD, EZ12-AD, LP01-AD, FA01-AD, FBE-AD |<br /> | Application | Drywall Seam and Butt Joint Finishing |</p>",This kit includes the following,1357.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/agflatext.webp,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,"10"", 12"", Asgard, combo set, flat box",4,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,EZ12-AD,,"Asgard 12"" Flat Box",simple,"<h2>Professional-Grade Finishing Performance</h2> <p>Elevate your drywall finishing efficiency with the Asgard 12"" Flat Box. Engineered for contractors who demand reliability and precision, this tool provides a cost-effective solution without compromising on build quality. Whether you are tackling flat seams or butt joints, this robust applicator ensures a smooth, professional finish that stands up to the rigors of demanding job sites.</p> <h2>Built for the Modern Contractor</h2> <p>Constructed from premium-grade alloys, the Asgard 12"" Flat Box is designed for longevity and consistent performance. Its universal compatibility allows it to integrate seamlessly with existing handles from all major industry brands, making it a versatile addition to your current tool kit. The intuitive design features quick-release thumb latches, significantly reducing downtime during cleanup, while the precision dial adjustment allows for granular control over mud output, ensuring perfect consistency on every pass.</p> <h2>Key Features</h2> <ul> <li><strong>Universal Compatibility:</strong> Designed to fit handles from all major drywall tool manufacturers for maximum versatility.</li> <li><strong>Precision Mud Control:</strong> Integrated dial adjustment system provides exact, consistent mud flow for flawless seam finishing.</li> <li><strong>Rugged Construction:</strong> Manufactured from high-strength alloys to withstand heavy-duty daily use.</li> <li><strong>Rapid Maintenance:</strong> Quick-release thumb latches enable fast disassembly for thorough cleaning and maintenance.</li> <li><strong>Professional Versatility:</strong> Optimized for both flat seams and butt joints, delivering high-quality results across various applications.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | 12"" Flat Box |<br /> | SKU | EZ12-AD |<br /> | UPC | 0873876004522 |<br /> | Tool Width | 12 inches |<br /> | Compatibility | Universal (Major Brands) |<br /> | Material | High-Quality Alloy |</p>","Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finish",327.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ez12-ad.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"12"", Asgard, flat box",5,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,PA12-AD,,"Asgard 12"" Power Assist Finishing Box",simple,"<h2>Elevate Your Drywall Finishing Precision</h2> <p>Achieve professional-grade results with the Asgard 12"" Power Assist Finishing Box, a high-performance tool designed to streamline your workflow and reduce physical fatigue. By integrating advanced power-assist spring technology, this finishing box allows for a smoother, more consistent application of joint compound, ensuring that even the most demanding drywall projects are completed with superior efficiency and minimal strain.</p> <h2>Engineered for Professional Performance</h2> <p>Built to meet the rigorous demands of the job site, this 12-inch finishing box is constructed from high-grade, lightweight aluminum to provide a perfect balance of durability and maneuverability. The precision-engineered stainless steel blade ensures a clean, uniform finish across wide seams, eliminating the need for extensive sanding and rework. Whether you are tackling large-scale commercial installations or high-end residential projects, this tool provides the reliability and control required for a flawless, seamless transition every time.</p> <h2>Key Features</h2> <ul> <li><strong>Power-Assist Technology:</strong> Integrated spring mechanism significantly reduces the force required to dispense compound, increasing productivity throughout the workday.</li> <li><strong>High-Capacity 12"" Design:</strong> Optimized for wide-seam finishing, providing excellent coverage and a smooth, professional-grade surface.</li> <li><strong>Durable Construction:</strong> Features a rugged aluminum housing that resists wear and tear while maintaining a lightweight profile for all-day comfort.</li> <li><strong>Precision Stainless Steel Blade:</strong> Delivers consistent compound thickness and superior edge control for a perfect finish on every pass.</li> <li><strong>Professional Reliability:</strong> Designed specifically for drywall contractors who demand precision, longevity, and consistent performance in the field.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | 12"" Power Assist Finishing Box |<br /> | SKU | PA12-AD |<br /> | Blade Width | 12 inches |<br /> | Material | Aluminum Housing / Stainless Steel Blade |<br /> | Application | Drywall Joint Finishing |</p>","Asgard 12"" Power Assist Finishing Box",456.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/pa12-ad.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"12"", Asgard, finishing box",6,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,AH25-AD,,"Asgard 2.5"" Angle Head",simple,"<h2>Achieve Flawless Internal Corners with Precision</h2> <p>Elevate your drywall finishing standards with the Asgard 2.5"" Angle Head. Engineered for professionals who demand speed without sacrificing quality, this tool is designed to feather joint compound across both sides of an internal corner simultaneously. Whether you are tackling vertical wall-to-wall joints or horizontal wall-to-ceiling transitions, this angle head delivers a consistent, professional-grade finish in one efficient motion.</p> <h2>Streamline Your Taping Workflow</h2> <p>Integrating seamlessly into your existing taping setup, the Asgard Angle Head is the perfect follow-up to your corner roller. Once your tape is firmly embedded, this tool glides effortlessly to wipe down excess compound, leaving behind a smooth, feathered edge that requires minimal sanding. By reducing manual touch-ups, it significantly cuts down on labor time while ensuring your corners are ready for the final coat.</p> <h2>Key Features</h2> <ul> <li><strong>Dual-Sided Efficiency:</strong> Simultaneously feathers both sides of an internal corner for a perfectly symmetrical finish in a single pass.</li> <li><strong>Versatile Application:</strong> Optimized for use on both wall-to-wall and wall-to-ceiling intersections.</li> <li><strong>Professional Consistency:</strong> Eliminates the guesswork of manual feathering, providing uniform results across every room.</li> <li><strong>Optimized Workflow:</strong> Designed to work in tandem with corner rollers to accelerate the taping process.</li> <li><strong>Durable Construction:</strong> Built to withstand the rigors of daily job site use while maintaining precision performance.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | 2.5"" Angle Head |<br /> | SKU | AH25-AD |<br /> | UPC | 0873876004539 |<br /> | Tool Size | 2.5 inches |<br /> | Application | Internal corner finishing |</p>","The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using acorner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results.",316.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ah25-ad.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"2.5"", angle head, Asgard",7,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,AH30-AD,,"Asgard 3"" Angle Head",simple,"<h2>Achieve Flawless Internal Corners with Precision</h2> <p>Elevate your drywall finishing standards with the Asgard 3"" Adjustable Angle Head. Engineered for professionals who demand efficiency and consistency, this tool streamlines the process of feathering joint compound on internal corners. Whether you are tackling wall-to-wall joints or ceiling transitions, this finisher delivers a smooth, professional-grade result in a single, fluid pass.</p> <h2>Advanced Control and Versatility</h2> <p>What sets the Asgard Angle Head apart is its intuitive tension management system. By engaging or disengaging the integrated rear tension springs, you gain precise control over the spring pressure, allowing you to adapt to varying corner conditions and compound consistencies. The inclusion of high-performance wheels ensures the tool glides effortlessly across surfaces, while the spring-loaded design intelligently compensates for minor imperfections in framing or drywall installation, ensuring a clean finish every time.</p> <h2>Key Features</h2> <ul> <li><strong>Precision Feathering:</strong> Simultaneously finishes both sides of an internal corner for maximum productivity.</li> <li><strong>Adjustable Tension:</strong> Customizable spring pressure settings allow for tailored performance based on your specific project needs.</li> <li><strong>Smooth Operation:</strong> Equipped with precision wheels to minimize drag and ensure a consistent, streak-free application.</li> <li><strong>Versatile Compatibility:</strong> Seamlessly integrates with the CA08-AD corner applicator for standard finishing, or attaches to FH-AD/XH-AD support handles via the CFA-AD adapter for specialized taping tasks.</li> <li><strong>Durable Construction:</strong> Built to withstand the rigors of daily job site use while maintaining high-tolerance accuracy.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | Asgard 3"" Angle Head |<br /> | SKU | AH30-AD |<br /> | UPC | 873876004553 |<br /> | Tool Type | Corner Finisher / Angle Head |<br /> | Size | 3 inches |<br /> | Compatibility | CA08-AD, FH-AD, XH-AD (with CFA-AD adapter) |</p>","The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q",338.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ah30-ad.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"3"", angle head, Asgard",8,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,NS03-AD,,"Asgard 3"" Nail Spotter",simple,"<h2>Precision Finishing for Professional Drywallers</h2> <p>Elevate your finishing workflow with the Asgard 3"" Nail Spotter, a high-performance tool engineered to streamline the process of covering fastener heads. Designed for professionals who demand reliability without the premium price tag, this spotter delivers consistent, clean results on every pass. By integrating advanced design elements from industry-leading TapeTech technology, Asgard provides a robust, efficient solution that stands up to the rigors of daily job site use.</p> <h2>Engineered for Efficiency and Longevity</h2> <p>Built to withstand the corrosive nature of joint compound, this nail spotter is crafted from premium-grade stainless steel, ensuring long-term durability and resistance to rust. The inclusion of the EasyClean® lid system simplifies maintenance, allowing for rapid access and thorough cleaning at the end of a shift. The traditional skid plate design serves a dual purpose: it acts as a stable pivot point for smooth application while functioning as a reliable screw detector to protect the blade from accidental damage.</p> <h2>Key Features</h2> <ul> <li><strong>EasyClean® Technology:</strong> Features a quick-release latch and gasket system modeled after professional flat boxes for effortless maintenance.</li> <li><strong>Durable Construction:</strong> Fabricated from high-quality stainless steel to prevent deterioration and ensure a long service life.</li> <li><strong>Integrated Protection:</strong> The traditional skid plate design guards the blade against damage while ensuring precise, level coverage over fasteners.</li> <li><strong>Versatile Compatibility:</strong> Includes the NSA-TT adapter, allowing seamless integration with Asgard FHTT fiberglass and XHTT extendable handles.</li> <li><strong>Professional Performance:</strong> Optimized for both small-scale repairs and large-scale finishing projects, providing a reliable single-spotter solution.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | 3"" Nail Spotter |<br /> | SKU | NS03-AD |<br /> | UPC | 873876004614 |<br /> | Material | Stainless Steel |<br /> | Included Adapter | NSA-TT |<br /> | Compatible Handles | FHTT, XHTT |</p>","Discover the unparalleled durability and functionality of Asgard Taping Tools by TapeTech without the added markup. The Asgard 3"" Nail Spotter is a versatile tool for any job size, perfect as a single spotter system. It features an EasyClean® Lid, a quick-release latch, and a gasket system similar to a flat box, allowing easy access and hassle-free clean-up. The traditional style skid plate serves as both a pivot point and screw detector, preventing blade damage. This nail spotter includes an NS",270.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ns03-ad.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"3"", Asgard, nail spotter",9,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
Asgard,AH35-AD,,"Asgard 3.5"" Angle Head",simple,"<h2>Achieve Flawless Internal Corners with Precision</h2> <p>Elevate your drywall finishing standards with the Asgard 3.5"" Adjustable Angle Head. Engineered for professionals who demand efficiency and consistency, this tool streamlines the process of feathering joint compound on internal corners. Whether you are tackling wall-to-wall joints or wall-to-ceiling transitions, this finisher ensures a smooth, professional-grade result in a single pass.</p> <h2>Advanced Control and Versatility</h2> <p>What sets this finisher apart is its integrated tension control system. By engaging or disengaging the rear spring sets, you can customize the spring pressure to suit specific wall conditions and compound consistencies. Designed to pair seamlessly with the CA08-AD corner applicator, this tool features precision-engineered wheels that glide across surfaces, providing a stable, uniform finish even when dealing with minor imperfections in corner framing.</p> <h2>Key Features</h2> <ul> <li><strong>Dual-Side Feathering:</strong> Simultaneously finishes both sides of an internal corner for maximum productivity.</li> <li><strong>Adjustable Tension:</strong> Features customizable spring pressure settings to adapt to varying job site requirements.</li> <li><strong>Smooth Glide Technology:</strong> Equipped with high-quality wheels to ensure consistent contact and effortless movement along the corner.</li> <li><strong>Versatile Application:</strong> Ideal for both vertical wall-to-wall corners and horizontal wall-to-ceiling joints.</li> <li><strong>System Compatibility:</strong> Easily attaches to standard corner applicators or can be used with support handles and adapters for extended reach applications.</li> </ul> <h2>Technical Specifications</h2> <p>| Specification | Detail |<br /> | :--- | :--- |<br /> | Brand | Asgard |<br /> | Product Name | 3.5"" Angle Head |<br /> | SKU | AH35-AD |<br /> | UPC | 0873876004553 |<br /> | Tool Type | Corner Finisher / Angle Head |<br /> | Compatibility | CA08-AD, FH-AD, XH-AD (with CFA-AD adapter) |</p>","The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q",356.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ah35-ad.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"3.5"", angle head, Asgard",10,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1
