sku,in_columbia_scrape,in_tsw_scrape,source,name,category,has_image,image_count
10FBB,0,1,tsw,Columbia 10&#34; Fat Boy Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
10FBBA,0,1,tsw,Columbia 10&#34; Fat Boy Automatic Assist Drywall Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
10FFB,0,1,tsw,Columbia 10&#34; Flat Finishing Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
10FFBA,0,1,tsw,Columbia 10&#34; Automatic Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
10ITFB,0,1,tsw,Columbia 10&#34; Inside Track Fat Boy Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
12FBB,0,1,tsw,Columbia 12&#34; Fat Boy Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
12FBBA,0,1,tsw,Columbia 12&#34; Fat Boy Automatic Assist Drywall Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,0,0
12FFB,0,1,tsw,Columbia 12&#34; Flat Finishing Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
12FFBA,0,1,tsw,Columbia 12&#34; Automatic Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
12ITFB,0,1,tsw,Columbia 12&#34; Inside Track Fat Boy Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
14FFB,0,1,tsw,Columbia 14&#34; Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
14FFBA,0,1,tsw,Columbia 14&#34; Automatic Flat Box,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,1
25AH,0,1,tsw,Columbia 2.5″ Anglehead,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
25CSF,0,1,tsw,Columbia 2.5&#34; Combo Flusher,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
25DF,0,1,tsw,Columbia 2.5&#34; Direct Corner Flusher,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
25SF,0,1,tsw,Columbia 2.5&#34; Standard Corner Flusher,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
2AH,0,1,tsw,Columbia 2″ Anglehead,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
2NS,0,1,tsw,Columbia 2″ Nailspotter,Drywall Finishing Tools > Columbia Taping Tools > Spotters,1,1
35AH,0,1,tsw,Columbia 3.5″ Anglehead,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
35CSF,0,1,tsw,Columbia 3.5&#34; Combo Flusher,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
35DF,0,1,tsw,Columbia 3.5&#34; Direct Corner Flusher,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
35SF,0,1,tsw,Columbia 3.5&#34; Standard Corner Flusher,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,1
